transaction_id,account_id,customer_code,transaction_date,transaction_type,transaction_desc,amount,balance,channel_txn,status_txn,TRAN_AMT_ACY,TRAN_AMT_LCY,currency
TXN00000032,1,CIF000001,2024-05-30,Principal Withdrawal,"Rút gốc tiết kiệm 14,150,075 VND",14150074.96,1728930893.46,mobile/internet,Posted,14150074.96,14150074.96,VND
TXN00000033,1,CIF000001,2024-05-30,Interest Withdrawal,"Rút lãi tiết kiệm 32,863,544 VND",32863544.42,1696067349.04,mobile/internet,Posted,32863544.42,32863544.42,VND
TXN00000034,1,CIF000001,2024-06-05,Principal Withdrawal,"Rút gốc tiết kiệm 20,351,978 USD",20351977.61,1675715371.43,mobile/internet,Posted,20351977.61,508799440.25,USD
TXN00000035,1,CIF000001,2024-06-20,Fund Transfer,"Chuyển khoản nội bộ 16,934,138 VND",16934137.62,1692649509.05,atm,Posted,16934137.62,16934137.62,VND
TXN00000036,1,CIF000001,2024-06-30,Principal Withdrawal,"Tất toán tài khoản tiết kiệm 6,837,466 VND",6837466.08,1685812042.97,branch,Posted,6837466.08,6837466.08,VND
TXN00000037,1,CIF000001,2024-06-30,Interest Withdrawal,"Rút lãi tiết kiệm 6,294,960 USD",6294959.96,1679517083.0,branch,Posted,6294959.96,157373999.12,USD
TXN00000038,1,CIF000001,2024-07-04,Principal Withdrawal,"Rút gốc tiết kiệm 2,385,794 USD",2385794.48,1677131288.52,atm,Posted,2385794.48,59644862.01,USD
TXN00000039,1,CIF000001,2024-07-11,Fee Transaction,"Phí cấp lại sổ tiết kiệm 63,507 VND",63506.72,1677067781.8,atm,Posted,63506.72,63506.72,VND
TXN00000040,1,CIF000001,2024-07-12,Principal Withdrawal,"Rút gốc tiết kiệm 22,870,279 VND",22870278.89,1654197502.91,mobile/internet,Posted,22870278.89,22870278.89,VND
TXN00000041,1,CIF000001,2024-07-15,Principal Withdrawal,"Rút gốc tiết kiệm 38,378,660 USD",38378660.08,1615818842.83,mobile/internet,Posted,38378660.08,959466502.03,USD
TXN00000042,1,CIF000001,2024-07-15,Interest Withdrawal,"Rút lãi tiết kiệm 26,514,707 VND",26514706.51,1589304136.33,atm,Posted,26514706.51,26514706.51,VND
TXN00000043,1,CIF000001,2024-07-27,Principal Withdrawal,"Rút gốc tiết kiệm 14,499,434 VND",14499434.47,1574804701.86,atm,Posted,14499434.47,14499434.47,VND
TXN00000044,1,CIF000001,2024-08-03,Principal Withdrawal,"Rút gốc tiết kiệm 16,191,503 USD",16191502.84,1558613199.02,atm,Posted,16191502.84,404787571.02,USD
TXN00000045,1,CIF000001,2024-08-08,Interest Withdrawal,"Chi trả lãi định kỳ 18,062,575 VND",18062575.0,1540550624.02,mobile/internet,Posted,18062575.0,18062575.0,VND
TXN00000046,1,CIF000001,2024-08-09,Principal Withdrawal,"Tất toán tài khoản tiết kiệm 23,984,861 VND",23984860.91,1516565763.11,branch,Posted,23984860.91,23984860.91,VND
TXN00000001,2,CIF000002,2022-11-29,Deposit,"Gửi tiền tiết kiệm 74,237,296 VND",74237296.44,74237296.44,branch,Posted,74237296.44,74237296.44,VND
TXN00000002,2,CIF000002,2022-12-03,Deposit,"Nộp tiền mặt tại quầy 66,781,082 USD",66781082.09,141018378.53,branch,Posted,66781082.09,1669527052.21,USD
TXN00000003,2,CIF000002,2022-12-07,Deposit,"Gửi tiền tiết kiệm 55,404,221 VND",55404220.71,196422599.24,branch,Posted,55404220.71,55404220.71,VND
TXN00000004,2,CIF000002,2022-12-09,Deposit,"Gửi tiền tiết kiệm 56,274,329 VND",56274328.73,252696927.96,mobile/internet,Posted,56274328.73,56274328.73,VND
TXN00000005,2,CIF000002,2022-12-19,Deposit,"Chuyển khoản vào tài khoản tiết kiệm 152,310,003 VND",152310003.25,405006931.21,atm,Posted,152310003.25,152310003.25,VND
TXN00000006,2,CIF000002,2022-12-23,Deposit,"Gửi tiền tiết kiệm 196,075,553 VND",196075553.4,601082484.61,mobile/internet,Posted,196075553.4,196075553.4,VND
TXN00000001,3,CIF000003,2025-02-07,Deposit,"Gửi tiền tiết kiệm 90,101,528 VND",90101527.59,90101527.59,atm,Posted,90101527.59,90101527.59,VND
TXN00000002,3,CIF000003,2025-02-08,Deposit,"Gửi tiền tiết kiệm 45,604,648 VND",45604648.3,135706175.9,atm,Posted,45604648.3,45604648.3,VND
TXN00000003,3,CIF000003,2025-02-17,Deposit,"Nộp tiền mặt tại quầy 97,682,237 VND",97682237.28,233388413.18,branch,Posted,97682237.28,97682237.28,VND
TXN00000004,3,CIF000003,2025-02-24,Deposit,"Chuyển khoản vào tài khoản tiết kiệm 98,680,478 VND",98680478.1,332068891.29,mobile/internet,Posted,98680478.1,98680478.1,VND
TXN00000005,3,CIF000003,2025-02-26,Deposit,"Nộp tiền mặt tại quầy 42,499,747 EUR",42499747.13,374568638.42,atm,Pending,42499747.13,1274992413.96,EUR
TXN00000006,3,CIF000003,2025-03-07,Fund Transfer,"Chuyển tiền từ tài khoản thanh toán 20,555,920 VND",20555920.03,395124558.44,atm,Posted,20555920.03,20555920.03,VND
TXN00000007,3,CIF000003,2025-03-10,Fund Transfer,"Chuyển tiền từ tài khoản thanh toán 45,477,713 VND",45477712.98,440602271.42,mobile/internet,Posted,45477712.98,45477712.98,VND
TXN00000008,3,CIF000003,2025-03-18,Fee Transaction,"Phí cấp lại sổ tiết kiệm 93,302 VND",93301.76,440508969.66,branch,Posted,93301.76,93301.76,VND
TXN00000009,3,CIF000003,2025-03-24,Principal Withdrawal,"Rút gốc tiết kiệm 6,373,426 VND",6373425.69,434135543.97,atm,Posted,6373425.69,6373425.69,VND
TXN00000010,3,CIF000003,2025-03-28,Deposit,"Chuyển khoản vào tài khoản tiết kiệm 65,498,575 VND",65498575.28,499634119.26,atm,Posted,65498575.28,65498575.28,VND
TXN00000011,3,CIF000003,2025-04-30,Interest Withdrawal,"Chi trả lãi định kỳ 15,417,355 VND",15417354.72,484216764.54,branch,Posted,15417354.72,15417354.72,VND
TXN00000012,3,CIF000003,2025-05-04,Principal Withdrawal,"Tất toán tài khoản tiết kiệm 5,948,290 VND",5948289.55,478268474.98,atm,Posted,5948289.55,5948289.55,VND
TXN00000001,4,CIF000003,2022-10-23,Deposit,"Chuyển khoản vào tài khoản tiết kiệm 69,477,871 VND",69477870.74,69477870.74,branch,Posted,69477870.74,69477870.74,VND
TXN00000002,4,CIF000003,2022-10-24,Deposit,"Gửi tiền tiết kiệm 84,445,432 VND",84445432.03,153923302.77,atm,Posted,84445432.03,84445432.03,VND
TXN00000003,4,CIF000003,2022-11-20,Principal Withdrawal,"Rút gốc tiết kiệm 27,442,660 VND",27442659.69,126480643.07,branch,Posted,27442659.69,27442659.69,VND
TXN00000004,4,CIF000003,2022-11-21,Fund Transfer,"Chuyển tiền từ tài khoản thanh toán 43,263,196 VND",43263195.76,169743838.83,mobile/internet,Posted,43263195.76,43263195.76,VND
TXN00000005,4,CIF000003,2022-11-22,Fund Transfer,"Chuyển khoản nội bộ 34,768,460 VND",34768460.33,204512299.16,branch,Posted,34768460.33,34768460.33,VND
TXN00000006,4,CIF000003,2022-12-01,Interest Withdrawal,"Chi trả lãi định kỳ 17,329,097 USD",17329097.27,187183201.89,atm,Posted,17329097.27,433227431.86,USD
TXN00000007,4,CIF000003,2022-12-06,Fund Transfer,"Chuyển khoản nội bộ 32,716,056 USD",32716055.93,219899257.82,atm,Posted,32716055.93,817901398.31,USD
TXN00000008,4,CIF000003,2022-12-06,Deposit,"Chuyển khoản vào tài khoản tiết kiệm 88,151,171 VND",88151171.32,308050429.14,atm,Posted,88151171.32,88151171.32,VND
TXN00000009,4,CIF000003,2022-12-10,Fund Transfer,"Chuyển tiền từ tài khoản thanh toán 20,137,848 VND",20137847.9,328188277.04,atm,Posted,20137847.9,20137847.9,VND
TXN00000010,4,CIF000003,2022-12-14,Fund Transfer,"Chuyển tiền từ tài khoản thanh toán 20,315,248 USD",20315247.94,348503524.98,branch,Posted,20315247.94,507881198.56,USD
TXN00000011,4,CIF000003,2023-01-02,Deposit,"Gửi tiền tiết kiệm 35,992,907 VND",35992907.34,384496432.32,atm,Posted,35992907.34,35992907.34,VND
TXN00000012,4,CIF000003,2023-01-14,Fund Transfer,"Chuyển tiền từ tài khoản thanh toán 25,167,855 VND",25167854.73,409664287.05,atm,Posted,25167854.73,25167854.73,VND
TXN00000013,4,CIF000003,2023-01-22,Fund Transfer,"Chuyển khoản nội bộ 26,296,722 VND",26296721.99,435961009.04,atm,Declined,26296721.99,26296721.99,VND
TXN00000014,4,CIF000003,2023-01-22,Fund Transfer,"Chuyển khoản nội bộ 17,191,239 VND",17191239.21,453152248.26,mobile/internet,Posted,17191239.21,17191239.21,VND
TXN00000015,4,CIF000003,2023-01-26,Deposit,"Nộp tiền mặt tại quầy 43,407,868 VND",43407868.11,496560116.37,atm,Posted,43407868.11,43407868.11,VND
TXN00000016,4,CIF000003,2023-02-16,Deposit,"Gửi tiền tiết kiệm 88,283,985 VND",88283985.43,584844101.8,atm,Posted,88283985.43,88283985.43,VND
TXN00000017,4,CIF000003,2023-02-20,Interest Withdrawal,"Chi trả lãi định kỳ 27,126,255 VND",27126254.98,557717846.82,branch,Posted,27126254.98,27126254.98,VND
TXN00000018,4,CIF000003,2023-03-01,Deposit,"Gửi tiền tiết kiệm 70,184,495 VND",70184495.37,627902342.2,atm,Posted,70184495.37,70184495.37,VND
TXN00000019,4,CIF000003,2023-03-10,Fund Transfer,"Chuyển tiền từ tài khoản thanh toán 10,133,921 VND",10133921.33,638036263.53,atm,Pending,10133921.33,10133921.33,VND
TXN00000020,4,CIF000003,2023-03-19,Fund Transfer,"Chuyển tiền từ tài khoản thanh toán 8,833,141 VND",8833140.88,646869404.41,branch,Posted,8833140.88,8833140.88,VND
TXN00000021,4,CIF000003,2023-03-26,Principal Withdrawal,"Rút gốc tiết kiệm 20,719,167 USD",20719166.83,626150237.57,atm,Posted,20719166.83,517979170.85,USD
TXN00000022,4,CIF000003,2023-03-28,Deposit,"Gửi tiền tiết kiệm 96,331,314 VND",96331314.02,722481551.6,mobile/internet,Posted,96331314.02,96331314.02,VND
TXN00000023,4,CIF000003,2023-04-01,Deposit,"Nộp tiền mặt tại quầy 68,639,457 VND",68639457.19,791121008.79,atm,Posted,68639457.19,68639457.19,VND
TXN00000024,4,CIF000003,2023-04-03,Deposit,"Gửi tiền tiết kiệm 46,203,336 VND",46203336.42,837324345.2,branch,Posted,46203336.42,46203336.42,VND
TXN00000025,4,CIF000003,2023-04-21,Fund Transfer,"Chuyển tiền từ tài khoản thanh toán 40,452,261 VND",40452261.2,877776606.4,branch,Posted,40452261.2,40452261.2,VND
TXN00000026,4,CIF000003,2023-05-18,Deposit,"Gửi tiền tiết kiệm 75,334,431 USD",75334430.64,953111037.04,mobile/internet,Pending,75334430.64,1883360765.95,USD
TXN00000027,4,CIF000003,2023-06-17,Principal Withdrawal,"Tất toán tài khoản tiết kiệm 21,200,578 VND",21200577.62,931910459.42,atm,Posted,21200577.62,21200577.62,VND
TXN00000028,4,CIF000003,2023-06-27,Deposit,"Gửi tiền tiết kiệm 92,259,602 VND",92259602.25,1024170061.67,branch,Posted,92259602.25,92259602.25,VND
TXN00000029,4,CIF000003,2023-06-30,Deposit,"Gửi tiền tiết kiệm 99,970,069 VND",99970069.18,1124140130.85,atm,Posted,99970069.18,99970069.18,VND
TXN00000030,4,CIF000003,2023-07-12,Fund Transfer,"Chuyển khoản nội bộ 46,223,275 VND",46223275.46,1170363406.31,branch,Posted,46223275.46,46223275.46,VND
TXN00000031,4,CIF000003,2023-07-16,Principal Withdrawal,"Tất toán tài khoản tiết kiệm 13,771,444 VND",13771443.73,1156591962.58,mobile/internet,Posted,13771443.73,13771443.73,VND
TXN00000032,4,CIF000003,2023-07-22,Fund Transfer,"Chuyển khoản nội bộ 41,610,472 VND",41610471.56,1198202434.14,atm,Pending,41610471.56,41610471.56,VND
TXN00000033,4,CIF000003,2023-08-09,Fund Transfer,"Chuyển khoản nội bộ 43,920,976 VND",43920976.28,1242123410.43,mobile/internet,Posted,43920976.28,43920976.28,VND
TXN00000034,4,CIF000003,2023-08-10,Deposit,"Gửi tiền tiết kiệm 66,290,757 VND",66290757.47,1308414167.9,atm,Posted,66290757.47,66290757.47,VND
TXN00000035,4,CIF000003,2023-08-16,Deposit,"Gửi tiền tiết kiệm 94,937,093 VND",94937093.26,1403351261.16,branch,Posted,94937093.26,94937093.26,VND
TXN00000036,4,CIF000003,2023-08-20,Interest Withdrawal,"Rút lãi tiết kiệm 23,458,898 VND",23458898.4,1379892362.76,atm,Pending,23458898.4,23458898.4,VND
TXN00000037,4,CIF000003,2023-08-20,Deposit,"Nộp tiền mặt tại quầy 75,339,678 VND",75339678.21,1455232040.98,branch,Posted,75339678.21,75339678.21,VND
TXN00000038,4,CIF000003,2023-09-02,Fund Transfer,"Chuyển tiền từ tài khoản thanh toán 49,111,008 VND",49111008.47,1504343049.44,branch,Posted,49111008.47,49111008.47,VND
TXN00000039,4,CIF000003,2023-09-15,Interest Withdrawal,"Chi trả lãi định kỳ 25,747,142 VND",25747141.62,1478595907.83,atm,Posted,25747141.62,25747141.62,VND
TXN00000040,4,CIF000003,2023-09-24,Principal Withdrawal,"Rút gốc tiết kiệm 51,703,954 VND",51703953.94,1426891953.88,branch,Posted,51703953.94,51703953.94,VND
TXN00000041,4,CIF000003,2023-10-07,Fund Transfer,"Chuyển khoản nội bộ 20,530,577 VND",20530577.38,1447422531.26,branch,Posted,20530577.38,20530577.38,VND
TXN00000042,4,CIF000003,2023-10-19,Interest Withdrawal,"Chi trả lãi định kỳ 16,194,795 VND",16194794.62,1431227736.64,mobile/internet,Posted,16194794.62,16194794.62,VND
TXN00000043,4,CIF000003,2023-11-14,Principal Withdrawal,"Rút gốc tiết kiệm 25,263,408 VND",25263408.36,1405964328.27,mobile/internet,Posted,25263408.36,25263408.36,VND
TXN00000044,4,CIF000003,2023-11-23,Fund Transfer,"Chuyển khoản nội bộ 44,136,514 USD",44136514.1,1450100842.37,atm,Pending,44136514.1,1103412852.53,USD
TXN00000045,4,CIF000003,2023-11-24,Deposit,"Chuyển khoản vào tài khoản tiết kiệm 58,698,503 VND",58698503.38,1508799345.76,mobile/internet,Pending,58698503.38,58698503.38,VND
TXN00000046,4,CIF000003,2023-12-09,Fund Transfer,"Chuyển khoản nội bộ 34,242,649 USD",34242649.37,1543041995.12,branch,Posted,34242649.37,856066234.15,USD
TXN00000047,4,CIF000003,2023-12-19,Principal Withdrawal,"Tất toán tài khoản tiết kiệm 11,075,760 VND",11075760.05,1531966235.07,branch,Posted,11075760.05,11075760.05,VND
TXN00000048,4,CIF000003,2023-12-23,Interest Withdrawal,"Chi trả lãi định kỳ 8,286,300 VND",8286300.16,1523679934.91,mobile/internet,Posted,8286300.16,8286300.16,VND
TXN00000049,4,CIF000003,2023-12-24,Interest Withdrawal,"Chi trả lãi định kỳ 5,459,037 VND",5459036.92,1518220897.98,atm,Posted,5459036.92,5459036.92,VND
TXN00000050,4,CIF000003,2024-01-03,Deposit,"Gửi tiền tiết kiệm 41,898,855 VND",41898855.43,1560119753.42,atm,Posted,41898855.43,41898855.43,VND
TXN00000051,4,CIF000003,2024-01-04,Deposit,"Gửi tiền tiết kiệm 46,253,191 VND",46253191.1,1606372944.52,atm,Posted,46253191.1,46253191.1,VND
TXN00000052,4,CIF000003,2024-01-06,Principal Withdrawal,"Tất toán tài khoản tiết kiệm 52,326,328 VND",52326327.9,1554046616.62,atm,Posted,52326327.9,52326327.9,VND
TXN00000053,4,CIF000003,2024-01-14,Fund Transfer,"Chuyển khoản nội bộ 36,064,108 VND",36064108.06,1590110724.68,atm,Posted,36064108.06,36064108.06,VND
TXN00000054,4,CIF000003,2024-01-15,Interest Withdrawal,"Chi trả lãi định kỳ 15,685,100 VND",15685099.56,1574425625.12,branch,Posted,15685099.56,15685099.56,VND
TXN00000055,4,CIF000003,2024-01-28,Deposit,"Gửi tiền tiết kiệm 93,743,187 VND",93743186.76,1668168811.88,atm,Posted,93743186.76,93743186.76,VND
TXN00000056,4,CIF000003,2024-02-04,Fund Transfer,"Chuyển tiền từ tài khoản thanh toán 14,855,204 VND",14855204.25,1683024016.13,atm,Posted,14855204.25,14855204.25,VND
TXN00000057,4,CIF000003,2024-02-05,Deposit,"Gửi tiền tiết kiệm 51,625,302 VND",51625301.88,1734649318.01,branch,Posted,51625301.88,51625301.88,VND
TXN00000058,4,CIF000003,2024-02-12,Fund Transfer,"Chuyển khoản nội bộ 19,702,361 VND",19702360.66,1754351678.67,mobile/internet,Posted,19702360.66,19702360.66,VND
TXN00000059,4,CIF000003,2024-02-13,Fund Transfer,"Chuyển khoản nội bộ 42,371,268 VND",42371267.88,1796722946.55,atm,Declined,42371267.88,42371267.88,VND
TXN00000060,4,CIF000003,2024-02-23,Principal Withdrawal,"Tất toán tài khoản tiết kiệm 35,245,195 VND",35245195.1,1761477751.45,mobile/internet,Posted,35245195.1,35245195.1,VND
TXN00000061,4,CIF000003,2024-02-25,Principal Withdrawal,"Tất toán tài khoản tiết kiệm 6,819,515 VND",6819514.5,1754658236.95,mobile/internet,Posted,6819514.5,6819514.5,VND
TXN00000062,4,CIF000003,2024-03-01,Fund Transfer,"Chuyển khoản nội bộ 9,875,575 VND",9875574.6,1764533811.55,mobile/internet,Posted,9875574.6,9875574.6,VND
TXN00000063,4,CIF000003,2024-03-01,Interest Withdrawal,"Chi trả lãi định kỳ 37,202,513 VND",37202513.25,1727331298.3,branch,Posted,37202513.25,37202513.25,VND
TXN00000064,4,CIF000003,2024-03-05,Deposit,"Gửi tiền tiết kiệm 96,238,307 VND",96238307.3,1823569605.6,atm,Posted,96238307.3,96238307.3,VND
TXN00000065,4,CIF000003,2024-03-11,Interest Withdrawal,"Chi trả lãi định kỳ 16,178,994 USD",16178994.05,1807390611.54,branch,Posted,16178994.05,404474851.33,USD
TXN00000066,4,CIF000003,2024-03-25,Deposit,"Chuyển khoản vào tài khoản tiết kiệm 91,978,965 VND",91978964.87,1899369576.42,atm,Posted,91978964.87,91978964.87,VND
TXN00000067,4,CIF000003,2024-03-27,Fund Transfer,"Chuyển tiền từ tài khoản thanh toán 14,777,136 VND",14777135.81,1914146712.23,mobile/internet,Posted,14777135.81,14777135.81,VND
TXN00000068,4,CIF000003,2024-04-20,Principal Withdrawal,"Rút gốc tiết kiệm 46,286,409 VND",46286408.6,1867860303.63,atm,Posted,46286408.6,46286408.6,VND
TXN00000069,4,CIF000003,2024-04-22,Principal Withdrawal,"Tất toán tài khoản tiết kiệm 4,534,803 VND",4534802.9,1863325500.73,mobile/internet,Pending,4534802.9,4534802.9,VND
TXN00000070,4,CIF000003,2024-04-26,Deposit,"Gửi tiền tiết kiệm 85,088,467 VND",85088467.0,1948413967.73,branch,Posted,85088467.0,85088467.0,VND
TXN00000071,4,CIF000003,2024-05-01,Interest Withdrawal,"Rút lãi tiết kiệm 8,044,176 USD",8044176.38,1940369791.35,mobile/internet,Posted,8044176.38,201104409.38,USD
TXN00000072,4,CIF000003,2024-05-03,Principal Withdrawal,"Rút gốc tiết kiệm 14,486,104 USD",14486104.47,1925883686.88,mobile/internet,Pending,14486104.47,362152611.85,USD
TXN00000073,4,CIF000003,2024-05-15,Deposit,"Gửi tiền tiết kiệm 42,197,234 VND",42197234.1,1968080920.98,branch,Posted,42197234.1,42197234.1,VND
TXN00000074,4,CIF000003,2024-05-19,Principal Withdrawal,"Rút gốc tiết kiệm 17,793,215 VND",17793214.95,1950287706.02,atm,Posted,17793214.95,17793214.95,VND
TXN00000075,4,CIF000003,2024-06-14,Principal Withdrawal,"Tất toán tài khoản tiết kiệm 39,689,160 VND",39689159.99,1910598546.03,atm,Posted,39689159.99,39689159.99,VND
TXN00000076,4,CIF000003,2024-07-08,Fund Transfer,"Chuyển tiền từ tài khoản thanh toán 37,058,059 VND",37058059.17,1947656605.2,mobile/internet,Posted,37058059.17,37058059.17,VND
TXN00000077,4,CIF000003,2024-07-22,Fund Transfer,"Chuyển khoản nội bộ 33,094,287 VND",33094287.24,1980750892.45,branch,Posted,33094287.24,33094287.24,VND
TXN00000078,4,CIF000003,2024-07-27,Fund Transfer,"Chuyển tiền từ tài khoản thanh toán 9,463,031 VND",9463030.78,1990213923.22,branch,Posted,9463030.78,9463030.78,VND
TXN00000079,4,CIF000003,2024-08-11,Deposit,"Gửi tiền tiết kiệm 58,966,950 VND",58966949.98,2049180873.2,atm,Posted,58966949.98,58966949.98,VND
TXN00000080,4,CIF000003,2024-08-12,Fund Transfer,"Chuyển khoản nội bộ 34,929,854 VND",34929853.84,2084110727.04,mobile/internet,Posted,34929853.84,34929853.84,VND
TXN00000081,4,CIF000003,2024-08-19,Deposit,"Gửi tiền tiết kiệm 36,526,107 VND",36526107.12,2120636834.16,branch,Posted,36526107.12,36526107.12,VND
TXN00000082,4,CIF000003,2024-08-28,Fund Transfer,"Chuyển khoản nội bộ 35,150,597 VND",35150596.91,2155787431.07,branch,Posted,35150596.91,35150596.91,VND
TXN00000083,4,CIF000003,2024-08-29,Interest Withdrawal,"Rút lãi tiết kiệm 50,548,946 VND",50548945.61,2105238485.47,branch,Posted,50548945.61,50548945.61,VND
TXN00000084,4,CIF000003,2024-08-30,Deposit,"Chuyển khoản vào tài khoản tiết kiệm 89,309,239 VND",89309239.37,2194547724.84,branch,Posted,89309239.37,89309239.37,VND
TXN00000085,4,CIF000003,2024-09-02,Fund Transfer,"Chuyển tiền từ tài khoản thanh toán 43,031,982 EUR",43031982.26,2237579707.1,branch,Posted,43031982.26,1290959467.79,EUR
TXN00000086,4,CIF000003,2024-09-27,Fund Transfer,"Chuyển khoản nội bộ 6,302,893 VND",6302893.15,2243882600.25,atm,Posted,6302893.15,6302893.15,VND
